,(100;20),(100;50),(100;100),(200;20),(200;50),(200;100),(350;20),(350;50),(350;100),(500;20),(500;50),(500;100),(750;20),(750;50),(750;100)
0.02,-0.024,0.009,0.001,0.009,0.002,-0.002,-0.015,-0.001,0,-0.005,-0.005,-0.002,-0.004,0,0
0.05,-0.005,0.002,0,0,0.001,-0.001,0.001,-0.001,0.001,0,0.001,-0.001,0.002,-0.001,-0.001
0.2,0.005,0.001,-0.001,0.001,0,-0.001,0,-0.001,0,0.001,0,-0.001,0,0,-0.001
0.5,-0.003,-0.004,-0.007,0.001,0,-0.001,-0.001,-0.001,0.001,0,0,-0.001,0,-0.001,-0.001
0.02-0.2,0.006,0.002,-0.001,0.003,0,0.002,0,0,0.001,-0.001,0.001,-0.001,0,-0.001,-0.001
