,(100;20),(100;50),(100;100),(200;20),(200;50),(200;100),(350;20),(350;50),(350;100),(500;20),(500;50),(500;100),(750;20),(750;50),(750;100)
0,0.039 +/- 0.096,-0.023 +/- 0.094,0.043 +/- 0.034,-0.005 +/- 0.051,-0.026 +/- 0.064,-0.014 +/- 0.086,-0.032 +/- 0.064,-0.027 +/- 0.071,-0.073 +/- 0.132,-0.038 +/- 0.018,0.043 +/- 0.066,-0.053 +/- 0.072,0.003 +/- 0.022,0.004 +/- 0.043,0.013 +/- 0.027
0.02,0.045 +/- 0.055,-0.112 +/- 0.028,-0.054 +/- 0.107,0.027 +/- 0.068,-0.033 +/- 0.056,0.042 +/- 0.083,-0.022 +/- 0.047,0.0 +/- 0.036,-0.017 +/- 0.031,0.004 +/- 0.035,-0.004 +/- 0.028,0.008 +/- 0.013,-0.023 +/- 0.01,-0.022 +/- 0.024,0.021 +/- 0.023
0.05,0.029 +/- 0.044,-0.103 +/- 0.014,0.047 +/- 0.388,0.045 +/- 0.032,-0.015 +/- 0.051,-0.038 +/- 0.069,-0.049 +/- 0.039,0.019 +/- 0.053,0.007 +/- 0.167,-0.021 +/- 0.024,0.036 +/- 0.061,-0.006 +/- 0.018,-0.005 +/- 0.034,-0.03 +/- 0.018,0.026 +/- 0.02
0.2,-0.083 +/- 0.153,-0.201 +/- 0.127,-0.239 +/- 0.081,0.026 +/- 0.046,-0.095 +/- 0.067,0.01 +/- 0.228,0.005 +/- 0.058,-0.027 +/- 0.052,-0.065 +/- 0.056,0.004 +/- 0.039,-0.018 +/- 0.027,-0.003 +/- 0.037,0.007 +/- 0.042,-0.029 +/- 0.025,0.002 +/- 0.022
0.5,-6.078 +/- 1.196,-6.178 +/- 0.631,-6.406 +/- 0.687,-0.357 +/- 0.322,-0.807 +/- 0.181,-1.093 +/- 0.384,-0.152 +/- 0.015,-0.218 +/- 0.022,-0.253 +/- 0.029,-0.064 +/- 0.037,-0.099 +/- 0.014,-0.146 +/- 0.02,-0.008 +/- 0.005,-0.051 +/- 0.033,-0.088 +/- 0.038
0.75,-11.948 +/- 0.854,-11.917 +/- 0.739,-11.684 +/- 1.203,-8.593 +/- 1.122,-9.168 +/- 0.527,-8.856 +/- 1.203,-4.259 +/- 2.361,-6.976 +/- 2.187,-7.134 +/- 2.002,-2.876 +/- 3.582,-1.452 +/- 2.283,-1.957 +/- 3.009,-0.094 +/- 0.015,-0.174 +/- 0.038,-0.2 +/- 0.032
1,-17.021 +/- 1.011,-16.958 +/- 1.068,-17.211 +/- 0.93,-15.59 +/- 4.105,-16.435 +/- 3.498,-14.285 +/- 3.405,-13.623 +/- 3.351,-17.806 +/- 4.134,-15.358 +/- 4.529,-9.923 +/- 2.401,-10.352 +/- 1.829,-9.884 +/- 2.074,-3.334 +/- 6.182,-1.842 +/- 4.576,-4.932 +/- 6.971
0.02-0.2,-0.022 +/- 0.125,-0.143 +/- 0.018,-0.172 +/- 0.045,0.031 +/- 0.039,0.383 +/- 0.515,-0.098 +/- 0.022,-0.037 +/- 0.02,-0.032 +/- 0.044,-0.022 +/- 0.029,-0.018 +/- 0.01,-0.018 +/- 0.019,-0.01 +/- 0.026,-0.016 +/- 0.042,-0.019 +/- 0.019,-0.002 +/- 0.023
