,(100;20),(100;50),(100;100),(200;20),(200;50),(200;100),(350;20),(350;50),(350;100),(500;20),(500;50),(500;100),(750;20),(750;50),(750;100)
? = 0,0.039,-0.023,0.043,-0.005,-0.026,-0.014,-0.032,-0.027,-0.073,-0.038,0.043,-0.053,0.003,0.004,0.013
? = 0.02,0.045,-0.112,-0.054,0.027,-0.033,0.042,-0.022,0,-0.017,0.004,-0.004,0.008,-0.023,-0.022,0.021
? = 0.05,0.029,-0.103,0.047,0.045,-0.015,-0.038,-0.049,0.019,0.007,-0.021,0.036,-0.006,-0.005,-0.03,0.026
? = 0.2,-0.083,-0.201,-0.239,0.026,-0.095,0.01,0.005,-0.027,-0.065,0.004,-0.018,-0.003,0.007,-0.029,0.002
? = 0.02 - 0.2,-0.022,-0.143,-0.172,0.031,0.383,-0.098,-0.037,-0.032,-0.022,-0.018,-0.018,-0.01,-0.016,-0.019,-0.002
